Hst Nr.,Hst Name,Ort,Gkz,Orts ID,Gültigkeit,Steig,Bereich Nr.,Steigname,RBL Nr.,Kurzbezeichnung,Globale ID,X-Koordinate (STVH),Y-Koordinate (STVH),Georeferenz (STVH),Straßenname,Format,Vitrine,Buchsatz,Aushangfahrplan,ZOB,EFA,DFI Zieltext (Anzeigepriorität),Fußgänger,Radfahrer,Motor. Straßenverkehr,Bevorrechtigter IV (Busse),Eisenbahn,Straßenbahn,U-Bahn,Schiff,X,Y
2758,Hintereggbrücke,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2758:0:1,693915,754796,7370,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.590016,47.343394
2758,Hintereggbrücke,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2758:0:2,693912,754780,7370,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.589975,47.343538
2759,Abzweigung Sommeralm,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2759:0:1,694648,755465,7537,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.599799,47.337440
2759,Abzweigung Sommeralm,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,weizn,0,weiz_nord,4,,at:46:2759:0:2,694643,755438,2009020328,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.599730,47.337682
2759,Abzweigung Sommeralm,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,tein,0,tei_nord,3,,at:46:2759:0:3,694653,755439,2009020328,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.599862,47.337674
2759,Abzweigung Sommeralm,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2759:0:4,694639,755467,7537,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.599680,47.337421
2760,Bucklige Lärche,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,tei,0,tei,1,,at:46:2760:0:1,694109,753771,2009020377,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.592454,47.352629
2760,Bucklige Lärche,Brandlucken,46017045,1,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2760:0:2,694098,753790,2009020377,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.592311,47.352458
2761,Achner/Heim,Reifling,46008016,6,10.06.2001 - 24.12.2500,city,0,citybus,1,,at:46:2761:0:1,624712,775067,2009024912,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,14.680216,47.151521
2762,Gh Derler,Sommeralm (Weiz),46017045,23,28.02.1994 - 24.12.2500,tei,0,Teichalm,1,,at:46:2762:0:1,691068,754565,7307,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.552314,47.345220
2762,Gh Derler,Sommeralm (Weiz),46017045,23,28.02.1994 - 24.12.2500,weiz,0,Brandlucken,2,,at:46:2762:0:2,691077,754560,7307,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.552433,47.345266
2763,Oberst-Götz Haus,Sommeralm (Weiz),46017045,23,28.02.1994 - 24.12.2500,tei,0,Teichalm,1,,at:46:2763:0:1,690368,754584,7320,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.543054,47.344986
2763,Oberst-Götz Haus,Sommeralm (Weiz),46017045,23,28.02.1994 - 24.12.2500,weiz,0,Sommeralm,2,,at:46:2763:0:2,690345,754578,7320,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.542749,47.345038
2764,Teichwirt,Teichalm,46017009,11,28.02.1994 - 24.12.2500,tei,0,Breitenau,1,,at:46:2764:0:1,684247,753746,7208,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.461936,47.351933
2764,Teichwirt,Teichalm,46017009,11,28.02.1994 - 24.12.2500,weiz,0,Sommeralm,2,,at:46:2764:0:2,684198,753764,7208,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.461290,47.351766
2765,Schaffernack,Kleinsemmering,46017015,10,28.02.1994 - 24.12.2500,grz,0,grz,1,,at:46:2765:0:1,693054,771012,11405,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.580702,47.197474
2765,Schaffernack,Kleinsemmering,46017015,10,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2765:0:2,693018,771122,2009046696,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.580241,47.196482
2766,Stoffmühle,Kleinsemmering,46017015,10,28.02.1994 - 24.12.2500,grz,0,grz,1,,at:46:2766:0:1,693413,771800,11648,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.585539,47.190418
2766,Stoffmühle,Kleinsemmering,46017015,10,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2766:0:2,693424,771810,11648,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.585686,47.190329
2767,Dorf,Kleinsemmering,46017015,10,28.02.1994 - 24.12.2500,grz,0,grz,1,,at:46:2767:0:1,692580,771899,81267,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.574561,47.189455
2767,Dorf,Kleinsemmering,46017015,10,28.02.1994 - 24.12.2500,weiz,0,weiz,2,,at:46:2767:0:2,692588,771899,81267,,Voreinstellung,Ja,Nein,Nein,Ja,Nein,,Ja,Ja,Ja,Ja,Nein,Nein,Nein,Nein,15.574667,47.189456
